,index
216,"5:13  The embodied man of self-control, having given up all actions mentally, continues happily in the town of nine gates, without doing or causing (others) to do anything at all."
217,5:14  The Self does not create agentship or any objects (of desire) for anyone; nor association with the results of actions. But it is Nature that acts.
218,"5:15  The Omnipresent neither accepts anybody's sin nor even virtue. Knowledge remains covered by ignorance. Hence, the creatures become deluded."
219,"5:16  But in the case of those of whom that ignorance of theirs becomes destroyed by the knowledge (of the Self), their Knowledge, like the sun, reveals that supreme Reality."
220,"5:17  Those who have their intellect absorbed in That, whose Self is That, who are steadfast in That, who have That as their supreme Goal-they attain the state of non-returning, their dirt having been removed by Knowledge."
221,"5:18  The learned ones look with equanimity on a Brahmana endowed with learning and humility, a cow, an elephant and even a dog as well as an eater of dog's meat."
222,"5:19  Even in this world they conquer their earth-life whose minds, fixed on the Supreme, remain always balanced; for the Supreme has neither blemish nor bias."
223,"5:20  A knower of Brahman, who is established in Brahman, should have his intellect steady and should not be deluded. He should not get delighted by getting what is desirable, nor become dejected by getting what is undesirable."
224,"5:21  With his heart unattached to external objects, he gets the bliss that is in the Self. With his heart absorbed in meditation on Brahman, he acquires undecaying Bliss."
225,"5:22  Since enjoyments that result from contact (with objects) are verily the sources of sorrow and have a beginning and an end, (therefore) O son of Kunti, the wise one does not delight in them."
226,"5:23  One who can withstand here itself-before departing from the body-the impulse arising from desire and anger, that man is a yogi; he is happy."
227,"5:24  One who is happy within, whose pleasure is within, and who has his light only within, that yogi, having become Brahman, attains absorption in Brahman."
228,"5:25  The seers whose sins have been attenuated, who are freed from doubt, whose organs are under control, who are engaged in doing good to all beings, attain absorption in Brahman."
229,"5:26  To the monks who have control over their internal organ, who are free from desire and anger, who have known the Self, there is absorption in Brahman either way."
230,"5:27  Keeping the external objects outside, the eyes at the juncture of the eye-brows, and making equal the outgoing and incoming breaths that move through the nostrils, the contemplative who has control over his organs, mind and intellect should be fully intent on Liberation and free from desire, fear and anger. He who is ever is verily free."
231,"5:28  Keeping the external objects outside, the eyes at the juncture of the eye-brows, and making equal the outgoing and incoming breaths that move through the nostrils, the contemplative who has control over his organs, mind and intellect should be fully intent on Liberation and free from desire, fear and anger. He who is ever is verily free."
232,"5:29  One attains Peace by knowing Me who, as the great Lord of all the worlds, am the enjoyer of sacrifices and austerities, (and) who am the friend of all creatures."
233,"6:1  The Blessed Lord said: He who performs an action which is his duty, without depending on the result of action, he is a monk and a yogi; (but) not (so in) he who does not keep a fire and is action-less."
234,"6:2  That which they call monasticism, know that to be Sannyasa Yoga, O Pandava, For, nobody who has not given up expectations can be a yogi."
235,"6:3  For the sage who wishes to ascend to (Dhyana-) yoga, action is said to be the means. For that person, when he has ascended to (Dhyana-)yoga, inaction alone is said to be the means."
236,"6:4  Verily, [Verily: This word emphasizes the fact that, since attachment to sense objects like sound etc. and to actions is an obstacle in the path of Yoga, therefore the removal of that obstruction is the means to its attainment.] when a man who has given up thought about everything does not get attached to sense-objects or actions, he is then said to be established in Yoga."
237,6:5  One should save oneself by oneself; one should not lower oneself. For oneself is verily one's own friend; oneself is verily one's own enemy.
238,"6:6  Of him, by whom has been conquered his very self by the self, his self is the friend of his self. But, for one who has not conquered his self, his self itself acts inimically like an enemy."
239,"6:7  The supreme Self of one who has control over the aggregate of his body and organs, and who is tranquil, becomes manifest. (He should be equipoised) [These words are supplied to complete the sentence.] in the midst of cold and heat, happiness and sorrow, as also honour and dishonour."
240,"6:8  One whose mind is satisfied with knowledge and realization, who is unmoved, who has his organs under control, is said to be Self-absorbed. The yogi treats equally a lump of earth, a stone and gold."
241,"6:9  He excels who has sameness of view with regard to a benefactor, a friend, a foe, a neutral, an arbiter, the hateful, a relative, good people and even sinners."
242,"6:10  A yogi should constantly concentrate his mind by staying in a solitary place, alone, with mind and body controlled, free from expectations, (and) free from acquisition."
243,"6:11  Having firmly established in a clean place his seat, neither too high nor too low, and made of cloth, skin and kusa-grass, placed successively one below the other;"
244,"6:12  (and) sitting on that seat, he should concentrate his mind for the purification of the internal organ, making the mind one-pointed and keeping the actions of the mind and senses under control."
245,"6:13  Holding the body, head and neck erect and still, being steady, looking at the tip of his own nose-and not looking around;"
246,"6:14  He should remain seated with a placid mind, free from fear, firm in the vow of a celibate, and with the mind fixed on Me by controlling it through concentration, having Me as the supreme Goal."
247,"6:15  Concentrating the mind thus for ever, the yogi of controlled mind achieves the Peace which culminates in Liberation and which abides in Me."
248,"6:16  But, O Arjuna, Yoga is not for one who eats too much, nor for one who does not eat at all; neither for one who habitually sleeps too long, nor surely for one who keeps awake."
249,"6:17  Yoga becomes a destroyer of sorrow of one whose eating and movements are regulated, whose effort in works is moderate, and whose sleep and wakefulness are temperate."
250,6:18  A man who has become free from hankering for all desirable objects is then said to be Self-absorbed when the controlled mind rests in the Self alone.
251,"6:19  As a lamp kept in a windless place does not flicker, such is the simile thought of for the yogi whose mind is under control, and who is engaged in concentration on the Self."
252,"6:20  At the time when the mind restrained through the practice of Yoga gets withdrawn, and just when by seeing the Self by the self-one remains contented in the Self alone;"
253,"6:21  When one experiences that absolute Bliss which can be intuited by the intellect and which is beyond the senses, and being established (thus) this person surely does not swerve from Reality;"
254,"6:22  Obtaining which one does not think of any other acquisition to be superior to that, and being established in which one is not perturbed even by great sorrow;"
255,6:23  One should know that severance of contact with sorrow to be what is called Yoga. That Yoga has to be practised with perseverance and with an undepressed heart.
256,"6:24  By totally eschewing all desires which arise from thoughts, and restraining with the mind itself all the organs from every side;"
257,"6:25  One should gradually withdraw with the intellect endowed with steadiness. Making the mind fixed in the Self, one should not think of anything whatsoever."
258,"6:26  (The yogi) should bring (this mind) under the subjugation of the Self Itself, by restraining it from all those causes whatever due to which the restless, unsteady mind wanders away."
259,"6:27  Supreme Bliss comes to this yogi alone whose mind has become perfectly tranquil, whose (quality of) rajas has been eliminated, who has become identified with Brahman, and is taintless."
260,"6:28  By concentrating his mind constantly thus, the taintless yogi easily attains the absolute Bliss of contact with Brahman."
261,"6:29  One who has his mind Self-absorbed through Yoga, and who has the vision of sameness every-where, see this Self existing in everything, and every-thing in his Self."
262,"6:30  One who sees Me in everything, and sees all things in Me, he is never out of My sight, nor am I ever out of his sight."
263,"6:31  That yogi who, being established in unity, adores Me as existing in all things, he exists in Me-in whatever condition he may be."
264,"6:32  O Arjuna, that yogi is considered the best who judges what is happiness and sorrow in all beings by the same standard as he would apply to himself."
265,"6:33  Arjuna said: O Madhusudana (Krsna), this Yoga that has been spoken of by You as sameness, I do not see its steady continuance, owing to the restlessness (of the mind)."
266,"6:34  For, O Krsna, the mind is unsteady, turbulent, strong and obstinate. I consider its control to be as greatly difficult as of the wind."
267,"6:35  The Blessed Lord said: O mighty-armed one, undoubtedly the mind is intractable and restless. But, O son of Kunti, it is brought under control through practice and detachment."
268,6:36  My conviction is that Yoga is difficult to be attained by one of uncontrolled mind. But it is possible to be attained through the (above) means by one who strives and has a controlled mind.
269,"6:37  Arjuna said: O Krsna, failing to achieve perfection in Yoga, what goal does one attain, who, though possessed of faith, is not diligent and whose mind becomes deflected from Yoga?"
270,"6:38  O Mighty-armed one, fallen from both, without support, deluded on the path to Brahman, does he not get ruined like a scattered cloud?"
271,"6:39  O Krsna, You should totally eradicate this doubt of mine. For, none other than Yourself can be the dispeller of this doubt!"
272,"6:40  The Blessed Lord said: O Partha, there is certainly no ruin for him here or hereafter. For, no one engaged in good meets with a deplorable end, My son!"
273,"6:41  Attaining the worlds of the righteous, and residing there for eternal years, the man fallen from Yoga is born in the house of the pious and the prosperous."
274,6:42  Or he is born in the family of wise yogis only. Such a birth as is of this kind is surely more difficult to get in the world.
275,"6:43  There he becomes endowed with that wisdom acquired in the previous body. and he strives more than before for perfection, O scion of the Kuru dynasty."
276,"6:44  For, by that very past practice, he is carried forward even in spite of himself! Even a seeker of Yoga transcends the result of the performance of Vedic rituals!"
277,"6:45  However, the yogi, applying himself assiduously, becoming purified from sin and attaining perfection through many births, thereby achieves the highest Goal."
278,"6:46  A yogi is higher than men of austerity; he is considered higher even than men of knowledge. The yogi is also higher than men of action. Therefore, O Arjuna, you become a yogi."
279,"6:47  Even among all the yogis, he who adores Me with his mind fixed on Me and with faith, he is considered by Me to be the best of the yogis."
280,"7:1  The Blessed Lord said: O Partha, hear how you, having the mind fixed on Me, practising the Yoga of Meditation and taking refuge in Me, will know Me with certainty and in fullness."
281,"7:2  I shall tell you in detail of this Knowledge which is combined with realization, after experiencing which there remains nothing else here to be known again."
282,"7:3  Among thousands of men a rare one endeavours for perfection. Even of the perfected ones who are diligent, one perchance knows Me in truth."
283,"7:4  This Prakrti of Mine is divided eight-fold thus: earth, water, fire, air, space, mind, intellect and also egoism."
284,"7:5  O mighty-armed one, this is the inferior (Prakrti). Know the other Prakrti of Mine which, however, is higher than this, which has taken the form of individual souls, and by which this world is upheld."
285,7:6  Understand thus that all things (sentient and insentient) have these as their source. I am the origin as also the end of the whole Universe.
286,"7:7  O Dhananjaya, there is nothing else whatsoever higher than Myself. All this is strung on Me like pearls on a string."
287,"7:8  O son of Kunti, I am the taste of water, I am the effulgence of the moon and the sun; (the letter) Om in all the Vedas, the sound in space, and manhood in men."
288,"7:9  I am also the sweet fragrance in the earth; I am the brilliance in the fire, and the life in all beings; and I am the austerity of the ascetics."
289,"7:10  O Partha, know Me to be the eternal Seed of all beings. I am the intellect of the intelligent, I am the courage of the courageous."
290,"7:11  And of the strong I am the strength which is devoid of passion and attachment. Among creatures I am desire which is not contrary to righteousness, O scion of the Bharata dynasty."
291,"7:12  Those things that indeed are made of (the quality of) sattva, and those things that are made of (the quality of) rajas and tamas, know them to have sprung from Me alone. However, I am not in them; they are in Me!"
292,"7:13  All this world, deluded as it is by these three things made of the gunas (qualities), does not know Me who am transcendental to these and undecaying."
293,"7:14  Since this divine Maya of Mine which is constituted by the gunas is difficult to cross over, (therefore) those who take refuge in Me alone cross over this Maya."
294,"7:15  The foolish evildoers, who are the most depraved among men, who are deprived of (their) wisdom by Maya, and who resort to demoniacal ways, do not take refuge in Me."
295,"7:16  O Arjuna, foremost of the Bharata dynasty, four classes of people of virtuous deeds adore Me: the afflicted, the seeker of Knowledge, the seeker of wealth and the man of Knowledge."
296,"7:17  Of them, the man of Knowledge, endowed with constant steadfastness and one-pointed devotion, excels. For I am very much dear to the man of Knowledge, and he too is dear to Me."
297,"7:18  All of these, indeed, are noble, but the man of Knowledge is the very Self. (This is) My opinion. For, with a steadfast mind, he is set on the path leading to Me alone who am the super-excellent Goal."
298,"7:19  At the end of many births the man of Knowledge attains Me, (realizing) that Vasudeva is all. Such a high-souled one is very rare."
299,"7:20  People, deprived of their wisdom by desires for various objects and guided by their own nature, resort to other deities following the relevant methods."
300,"7:21  Whichever form (of a deity) any devotee wants to worship with faith, that very firm faith of his I strengthen."
301,"7:22  Being imbued with that faith, that person engages in worshipping that form, and he gets those very desired results therefrom as they are dispensed by Me alone."
302,7:23  That result of theirs who are of poor intellect is indeed limited. The worshippers of gods go to the gods. My devotees go to Me alone.
303,"7:24  The unintelligent, unaware of My supreme state which is immutable and unsurpassable, think of Me as the unmanifest that has become manifest."
304,"7:25  Being enveloped by yoga-maya, I do not become manifest to all. This deluded world does not know Me who am birthless and undecaying."
305,"7:26  O Arjuna, I know the past and the present as also the future beings; but no one knows Me!"
306,"7:27  O scion of the Bharata dynasty, O destroyer of foes, due to the delusion of duality arising from likes and dislikes, all creatures become bewildered at the time of their birth."
307,"7:28  On the other hand, those persons who are of virtuous deeds, whose sin has come to an end, they, being free from the delusion of duality and firm in their convictions, adore Me."
308,"7:29  Those who strive by resorting to Me for becoming free from old age and death, they know that Brahman, everything about the individual Self, and all about actions. [They know Brahman as being all the individual entities and all actions. This verse prescribes meditation on the qualified Brahman for aspirants of the middle class. Verses beginning with the 14th speak about the realization of the unqualified Brahman by aspirants of the highest class.]"
309,"7:30  Those who know me as existing in the physical and the divine planes, and also in the context of the sacrifice, they of concentrated minds know Me even at the time of death."
310,"8:1  Arjuna said: O supreme person, what is that Brahman? What is that which exists in the individual plane? What is action? And what is that which is said to exist in the physical plane? What is that which is said to be existing in the divine plane?"
311,"8:2  O Madhusudana, how, and who, is the entity existing in the sacrifice here in this body? And at the time of death, how are You to be known by people of concentrated minds?"
312,8:3  The Blessed Lord said: The Immutable is the supreme Brahman; self-hood is said to be the entity present in the individual plane. By action is meant the offerings which bring about the origin of the existence of things.
313,"8:4  That which exists in the physical plane is the mutable entity, and what exists in the divine plane is the Person. O best among the embodied beings, I Myself am the entity that exists in the sacrifice in this body."
314,"8:5  And at the time of death, anyone who departs by giving up the body while thinking of Me alone, he attains My state. There is no doubt about this."
315,"8:6  O son of Kunti, thinking of any entity whichever it may be one gives up the body at the end, he attains that very one, having been always engrossed in its thought."
316,"8:7  Therefore, think of Me at all times and fight. There is no doubt that by dedicating your mind and intellect to Me, you will attain Me alone."
317,"8:8  O son of Prtha, by meditating with a mind which is engaged in the yoga of practice and which does not stray away to anything else, one reaches the supreme Person existing in the effulgent region."
318,"8:9  He who meditates on the Omniscient, the Ancient, the Ruler, subtler than the subtle, the Ordainer of everything, of inconceivable form, effulgent like the sun, and beyond darkness- (he attains the supreme Person)."
319,"8:10  At the time of death, having fully fixed the Prana (vita force) between the eyebrows with an unswerving mind, and being imbued with devotion as also the strength of concentration, he reaches that resplendent supreme person."
320,"8:11  I shall speak to you briefly of that immutable Goal which the knowers of the Vedas declare, into which enter the diligent ones free from attachment, and aspiring for which people practise celibacy."
321,"8:12  Having controlled all the passages, having confined the mind in the heart, and having fixed his own vital force in the head, (and then) continuing in the firmness in yoga;"
322,"8:13  He who departs by leaving the body while uttering the single syllable, viz Om, which is Brahman, and thinking of Me, he attains the supreme Goal."
323,"8:14  O son of Prtha, to that yogi of constant concentration and single-minded attention, who remembers Me uninterruptedly and for long, I am easy of attainment."
324,"8:15  As a result of reaching Me, the exalted ones who have attained the highest perfection do not get rebirth which is an abode of sorrows and which is impermanent."
325,"8:16  O Arjuna, all the worlds together with the world of Brahma are subject to return. But, O son of Kunti, there is no rebirth after reaching Me."
326,"8:17  Those people who are knowers of what day and night are, know the day of Brahma which ends in a thousand yugas [The four yugas (in the human worlds), viz Satya, Treta, Dwapara, and Kali are made up of 4,320,000 years. This period multiplied by a thousand constitutes one day of Brahma. His night also extends over an equal period.], and His night which ends in a thousand yugas."
327,8:18  With the coming of day all manifested things emerge from the Unmanifest and when night comes they merge in that itself which is called the Unmanifested.
328,"8:19  O son of Prtha, after being born again and again, that very multitude of beings disappears in spite of itself at the approach of night. It comes to life at the approach of day."
329,"8:20  But distinct from that Unmanifested is the other eternal unmainfest Reality, who does not get destroyed when all beings get destroyed."
330,"8:21  He who has been mentioned as the Unmanifested, the Immutable, they call Him the supreme Goal. That is the supreme abode of Mine, reaching which they do not return."
331,"8:22  O son of Prtha, that supreme Person-in whom are included (all) the beings and by whom all this is pervaded-is, indeed, reached through one-pointed devotion."
332,"8:23  O best of the Bharata dynasty, I shall now speak of that time by departing at which the yogis attain the State of Non-return, and also (of the time by departing at which they attain) the State of Return."
333,"8:24  Fire, light, daytime, the bright fortnight, the six months of the Northern solstice-by following this Path, persons who are knowers of Brahman attain Brahman when they die."
334,"8:25  Smoke, night, as also the dark fortnight and the six months of the Southern solstice-following this Path the yogi having reached the lunar light, returns."
335,"8:26  These two courses of the world, which are white and black, are verily considered eternal. By the one a man goes to the State of Non-return; by the other he returns again."
336,"8:27  O son of Prtha, no yogi [One steadfast in meditation.) whosoever has known these two courses becomes deluded. Therefore, O Arjuna, be you steadfast in yoga at all times."
337,"8:28  Having known this, the yogi transcends all those results of righteous deeds that are declared with regard to the Vedas, sacrifices, austerities and also charities, and he reaches the primordial supreme State."
338,"9:1  The Blessed Lord said: However, to you who are not given to cavilling I shall speak of this highest secret itself, which is Knowledge [Jnana may mean Brahman that is Consciousness, or Its knowledge gathered from the Vedas (paroksa-jnana). Vijnana is direct experience (aparoksa-jnana).] combined with experience, by realizing which you shall be free from evil."
339,"9:2  This is the Sovereign Knowledge, the Sovereign Profundity, the best sanctifier; directly realizable, righteous, very easy to practise and imperishable."
340,"9:3  O destroyer of foes, persons who are regardless of this Dharma (knowledge of the Self) certainly go round and round, without reaching Me, along the path of transmigration which is fraught with death."
341,"9:4  This whole world is pervaded by Me in My unmanifest form. All beings exist in Me, but I am not contained in them!"
342,"9:5  Nor do the beings dwell in Me. Behold My Divine Yoga! I am the sustainer and originator of beings, but My Self is not contained in the beings."
343,"9:6  Understand thus that just as the voluminous wind moving everywhere is ever present in space, similarly all beings abide in Me."
344,"9:7  O son of Kunti, all the beings go back at the end of a cycle to My Prakrti. I project them forth again at the beginning of a cycle."
345,"9:8  Keeping My own Prakrti under control, I project forth again and again the whole of this multitude of beings which are powerless owing to the influence of (their own) nature."
346,"9:9  O Dhananjaya (Arjuna), nor do those actions bind Me, remaining (as I do) like one unconcerned with, and unattached to, those actions."
347,"9:10  Under Me as the supervisor, the Prakrti produces (the world) of the moving and the non-moving things. Owing to this reason, O son of Kunti, the world revolves."
348,"9:11  Not knowing My supreme nature as the Lord of all beings, foolish people disregard Me who have taken a human body."
349,"9:12  Of vain hopes, of vain actions, of vain knowledge, and senseless, they become verily possessed of the deceptive disposition of fiends and demons."
350,"9:13  O son of Prtha, the noble ones, being possessed of divine nature, surely adore Me with single-mindedness, knowing Me as the immutable source of all objects."
351,"9:14  Always glorifying Me and striving, the men of firm vows worship Me by paying obeisance to Me and being ever endowed with devotion."
352,"9:15  Others verily worship Me by adoring exclusively through the sacrifice of the knowledge of oneness; (others worship Me) multifariously, and (others) as the multiform existing variously."
353,"9:16  I am the kratu, I am the yajna, I am the svadha, I am the ausadha, I am the mantra, I Myself am the ajay, I am the fire, and I am the act of offering."
354,"9:17  Of this world I am the father, mother, ordainer, (and the), grand-father; I am the knowable, the sanctifier, the syllable Om as also Rk, Sama and Yajus."
355,"9:18  (I am) the fruit of actions, the nourisher, the Lord, witness, abode, refuge, friend, origin, end, foundation, store and the imperishable seed."
356,"9:19  O Arjuna, I give heat, I withhold and pour down rain. I am verily the nectar, and also death existence and nonexistence."
357,"9:20  Those who are versed in the Vedas, who are drinkers of Soma and are purified of sin, pray for the heavenly goal by worshipping Me through sacrifices. Having reached the place (world) of the king of gods, which is the result of righteousness, they enjoy in heaven th divine pleasure of gods."
358,"9:21  After having enjoyed that vast heavenly world, they enter into the human world on the exhaustion of their merit. Thus, those who follow the rites and duties prescribed in the three Vedas, and are desirous of pleasures, attain the state of going and returning."
359,"9:22  Those persons who, becoming non-different from Me and meditative, worship Me everywhere, for them, who are ever attached (to Me), I arrange for securing what they lack and preserving what they have."
360,"9:23  Even those who, being devoted to other deities and endowed with faith, worship (them), they also, O son of Kunti, worship Me alone (though) following the wrong method."
361,"9:24  I indeed am the enjoyer as also the Lord of all sacrifices; but they do not know Me in reality. Therefore, they fall."
362,9:25  Votaries of the gods reach the gods; the votaries of the manes go to the manes; the worshippers of the Beings reach the Beings; and those who worship Me reach Me.
363,"9:26  Whoever offers Me with devotion-a leaf, a flower, a fruit, or water, I accept that (gift) of the pure-hearted man which has been devotionally presented."
364,"9:27  O son of Kunti, whatever you do, whatever you eat, whatever you offer as a sacrifice, whatever you give and whatever austerities you undertake, (all) that you offer to Me."
365,"9:28  Thus, you will become free from bondage in the form of actions which are productive of good and bad results. Having your mind imbued with the yoga of renunciation and becoming free, you will attain Me."
366,"9:29  I am impartial towards all beings; to Me there is none detestable or none dear. But those who worship Me with devotion, they exist in Me, and I too exist in them."
367,"9:30  Even if a man of very bad conduct worships Me with one-pointed devotion, he is to be considered verily good; for he has resolved rightly."
368,"9:31  He soon becomes possessed of a virtuous mind; he attains everlasting peace. Do you proclaim boldly, O son of Kunti, that My devotee does not get ruined."
369,"9:32  For, O son of Prtha, even those who are born of sin-women, Vaisyas, as also Sudras, even they reach the highest Goal by taking shelter under Me."
370,"9:33  What to speak of the holy Brahmanas as also of devout kind-sages! Having come to this ephemeral and miserable world, do you worship Me."
371,"9:34  Having your mind fixed on Me, be devoted to Me, sacrifice to Me, and bow down to Me. By concentrating your mind and accepting Me as the supreme Goal, you shall surely attain Me who am thus the Self."
372,"10:1  The Blessed Lord said: O mighty-armed one, listen over again ot My supreme utterance, which I, wishing your welfare, shall speak to you who take delight (in it)."
373,"10:2  Neither the gods nor the great sages know My majesty. For, in all respects, I am the source of the gods and the great sages."
374,"10:3  He who knows Me-the birth-less, the beginning-less, and the great Lord of the worlds, he, the undeluded one among mortals, becomes freed from all sins."
375,"10:4  Intelligence, wisdom, non-delusion, forgiveness, truth, control of the external organs, control of the internal organs, happiness, sorrow, birth, death and fear as also fearlessness, non-injury, equanimity, satisfaction, austerity, charity, fame, infamy-(these) different dispositions of beings spring from Me alone."
376,"10:5  Intelligence, wisdom, non-delusion, forgiveness, truth, control of the external organs, control of the internal organs, happiness, sorrow, birth, death and fear as also fearlessness, non-injury, equanimity, satisfaction, austerity, charity, fame, infamy-(these) different dispositions of beings spring from Me alone."
377,"10:6  The seven great sages as also the four Manus of ancient days, of whom are these creatures in the world, had their thoughts fixed on Me, and they were born from My mind."
378,"10:7  One who knows truly this majesty and yoga of Mine, he becomes imbued with unwavering Yoga. There is no doubt about this."
379,"10:8  I am the origin of all; everything moves on owing to Me. Realizing thus, the wise ones, filled with fervour, adore Me."
380,"10:9  With minds fixed on Me, with lives dedicated to Me, enlightening each other, and always speaking of Me, they derive satisfaction and rejoice."
381,"10:10  To them who are ever devoted and worship Me with love, I grant that possession of wisdom by which they reach Me."
382,"10:11  Out of compassion for them alone, I, residing in their hearts, destroy the darkness born of ignorance with the luminous lamp of Knowledge."
383,"10:12  Arjuna said: You are the supreme Brahman, the supreme Light, the supreme Sanctifier."
384,"10:13  All the sages as also the divine sage Narada, Asita, Devala and Vyasa [Although Narada and the other sages are already mentioned by the words 'all the sages', still they are named separately because of their eminence. Asita is the father of Devala.] call You the eternal divine Person, the Primal God, the Birth-less, the Omnipresent; and You Yourself verily tell me (so)."
385,"10:14  O Kesava, I accept to be true all this which You tell me. Certainly, O Lord, neither the gods nor the demons comprehend Your glory."
386,"10:15  O supreme Person, the Creator of beings, the Lord of beings, God of gods, the Lord of the worlds, You Yourself alone know Yourself by Yourself."
387,"10:16  Be pleased to speak in full of Your own manifestations which are indeed divine, through which manifestations You exist pervading these worlds."
388,"10:17  O Yogi, [Here yoga stands for the results of yoga, viz omniscience, omnipotence, etc.; one possessed of these is a yogi.] how shall I know You by remaining ever-engaged in meditation? And through what objects, O Lord, are You to be meditated on by me?"
389,"10:18  O Janardana, narrate to me again [In addition to what has been said in the seventh and ninth chapters.] Your own yoga and (divine) manifestations elaborately. For, while hearing (Your) nectar-like (words), there is no satiety in me."
390,"10:19  The Blessed Lord said: O best of the Kurus, now, according to their importance, I shall describe to you My own glories, which are indeed divine. There is no end to my manifestations."
391,"10:20  O Gudakesa, I am the Self residing in the hearts of all beings, and I am the beginning and the middle as also the end of (all) beings."
392,"10:21  Among the Adityas [viz Dhata, Mitra, Aryama, Rudra, Varuna, Surya, Bhaga, Vivasvan, Pusa, Savita, Tvasta and Visnu] I am Visnu; among the luminaries, the radiant sun; among the (forty-nine) Maruts [The seven groups of Maruts are Avaha, Pravaha, Vivaha, Paravaha, Udvaha, Samvaha and parivaha] I am Marici; among the stars I am the moon."
393,"10:22  Among the Vedas I am Sama-veda; among the gods I am Indra. Among the organs I am the mind, and I am the intelligence in creatures."
394,"10:23  Among the Rudras [Aja, Ekapada, Ahirbudhnya, Pinaki, Aparajita, Tryam-baka, Mahesvara, Vrsakapi, Sambhu, Harana and Isvara. Different Puranas give different lists of eleven names.] I am Sankara, and among the Yaksas and goblins I am Kubera [God of wealth. Yaksas are a class of demigods who attend on him and guard his wealth.]. Among the Vasus [Apa, Dhruva, Soma, Dharma, Anila, Anala (Fire), Pratyusa and Prabhasa.] I am Fire, and among the mountains I am Meru."
395,"10:24  O son of Prtha, know me to be Brhaspati, the foremost among the priests of kings. Among commanders of armies I am Skanda; among large expanses of water I am the sea."
396,"10:25  Among the great sages I am Bhrgu; of words, I am the single syllable (Om) [Om is the best because it is the name as well as the symbol of Brahman.]. Among rituals I am the ritual of Japa [Japa, muttering prayers-repeating passages from the Vedas, silently repeating names of deities, etc. Rituals often involve killing of animals. But Japa is free from such injury, and hence the best.] of the immovable, the Himalaya."
397,"10:26  Among all trees (I am) the Asvatha (peepul), and Narada among the divine sages. Among the gandharvas [A class of demigods regarded as the musicians of gods.] (I am) Citraratha; among the perfected ones, the sage Kapila."
398,"10:27  Among horses, know Me to be Uccaihsravas, born of nectar; Airavata among the lordly elephants; and among men, the Kind of men. [Uccaihsravas and Airavata are respectively the divine horse and elephant of Indra.]"
399,"10:28  Among weapons I am the thunderbolt; among cows I am Kamadhenu. I am Kandarpa, the Progenitor, and among serpents I am Vasuki."
400,"10:29  Among snakes I am Ananta, and Varuna among gods of the waters. Among the manes I am Aryama, and among the maintainers of law and order I am Yama (King of death)."
401,"10:30  Among demons I am Prahlada, and I am Time among reckoners of time. And among animals I am the loin, and among birds I am Garuda."
402,"10:31  Of the purifiers I am air; among the wielders of weapons I am Rama. Among fishes, too, I am the shark; I am Ganga among rivers."
403,"10:32  O Arjuna, of creations I am the beginning and the end as also the middle, I am the knowledge of the Self among knowledge; of those who date I am Vada."
404,"10:33  Of the letters I am the letter a, and of the group of compound words I am (the compound called) Dvandva. [Dvandva: A compound of two or more words which, if not compounded, would stand in the same case and be connected by the conjunction 'and'] I Myself am the infinite time; I am the Dispenser with faces everywhere."
405,"10:34  And I am Death, the destroyer of all; and the prosperity of those destined to be prosperous. Of the feminine (I am) fame, beauty, speech, memory, intelligence, fortitude and forbearance."
406,"10:35  I am also the Brhat-sama of the Sama (-mantras); of the metres, Gayatri. Of the months, I am Marga-sirsa, and of the seasons, spring."
407,"10:36  Of the fraudulent I am the gambling; I am the irresistible command of the mighty. I am excellence, I am effort, I am the sattva quality of those possessed of sattva."
408,"10:37  Of the vrsnis [The clan to which Sri Krsna belonged, known otherwise as the Yadavas.] I am Vasudeva; of the Pandavas, Dhananjaya (Arjuna). And of the wise, I am Vyasa; of the omniscient, the omniscient Usanas."
409,"10:38  Of the punishers I am the rod; I am the righteous policy of those who desire to conquer. And of things secret, I am verily silence; I am knowledge of the men of knowledge."
410,"10:39  Moreover, O Arjuna, whatsoever is the seed of all beings, that I am. There is no thing moving or non-moving which can exist without Me."
411,"10:40  O destroyer of enemies, there is no limit to My divine manifestations. This description of (My) manifestations, however, has been stated by Me by way of illustration."
412,"10:41  Whatever object [All living beings] is verily endowed with majesty, possessed of prosperity, or is energetic, you know for certain each of them as having a part of My power as its source."
413,"10:42  Or, on the other hand, what is the need of your knowing this extensively, O Arjuna? I remain sustaining this whole creation in a special way with a part (of Myself)."
414,"11:1  Arjuna said: This delusion of mine has departed as a result of that speech which is most secret and known as pertaining to the Self, and which was uttered by You for my benefit."
415,"11:2  O you with eyes like lotus leaves, the origin and dissolution of beings have been heard by me in detail from You. ['From You have been heard the origin and dissolution of beings in You.'] And (Your) undecaying glory, too, (has been heard)."
416,"11:3  O supreme Lord, so it is, as You speak about Yourself. O supreme Person, I wish to see the divine form of Yours."
417,"11:4  O Lord, if You think that it is possible to be seen by me, then, O Lord of Yoga, You show me Your eternal Self."
418,"11:5  The Blessed Lord said: O son of Prtha, behold My forms in (their) hundreds and in thousands, of different kinds, celestial, and of various colours and shapes."
419,"11:6  See the Adiyas, the Vasus, the Rudras, the two Asvins and the Maruts. O scion of the Bharata dynasty, behold also the many wonders not seen before."
420,"11:7  See now, O Gudakesa (Arjuna), the entire Universe together with the moving and the non-moving, concentrated at the same place here in My body, as also whatever else you would like to see."
421,11:8  But you are not able to see Me merely with this eye of yours. I grant you the supernatural eye; behold My Divine Yoga.
